s,p,o
http://edg.topbraid.solutions/model/GlossaryProject,http://datashapes.org/graphql#publicClass,http://edg.topbraid.solutions/model/GlossaryViewpoint
http://edg.topbraid.solutions/model/GlossaryProject,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/ns/shacl#NodeShape
_:b30,http://www.w3.org/1999/02/22-rdf-syntax-ns#first,http://qudt.org/vocab/type/LittleEndian
_:b30,http://www.w3.org/1999/02/22-rdf-syntax-ns#rest,_:b31
http://www.w3.org/ns/shacl#SPARQLConstraint,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/ns/shacl#NodeShape
http://www.w3.org/ns/shacl#SPARQLConstraint,http://www.w3.org/ns/shacl#property,http://topbraid.org/tosh#Resource-comment
http://www.w3.org/ns/shacl#SPARQLConstraint,http://www.w3.org/ns/shacl#property,http://topbraid.org/tosh#SPARQLConstraint-deactivated
http://www.w3.org/ns/shacl#SPARQLConstraint,http://www.w3.org/ns/shacl#property,http://topbraid.org/tosh#SPARQLConstraint-message
http://www.w3.org/ns/shacl#SPARQLConstraint,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2000/01/rdf-schema#Class
http://www.w3.org/ns/shacl#SPARQLConstraint,http://www.w3.org/2000/01/rdf-schema#label,SPARQL constraint
http://www.w3.org/ns/shacl#SPARQLConstraint,http://www.w3.org/2000/01/rdf-schema#comment,The class of constraints based on SPARQL SELECT queries.
http://www.w3.org/ns/shacl#SPARQLConstraint,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.w3.org/ns/shacl#SPARQLSelectExecutable
http://www.w3.org/ns/shacl#SPARQLConstraint,http://www.w3.org/2000/01/rdf-schema#isDefinedBy,http://www.w3.org/ns/shacl#
http://edg.topbraid.solutions/model/ImpactScale,http://www.w3.org/2000/01/rdf-schema#isDefinedBy,http://edg.topbraid.solutions/1.0/schema/core
http://edg.topbraid.solutions/model/ImpactScale,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://edg.topbraid.solutions/model/OrdinalScale
http://edg.topbraid.solutions/model/ImpactScale,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edg.topbraid.solutions/model/EDGenumerationClass
http://edg.topbraid.solutions/model/ImpactScale,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/ns/shacl#NodeShape
http://edg.topbraid.solutions/model/ImpactScale,http://www.w3.org/2000/01/rdf-schema#label,Impact scale
_:b32,http://www.w3.org/1999/02/22-rdf-syntax-ns#first,http://qudt.org/schema/qudt/UNSIGNED
_:b32,http://www.w3.org/1999/02/22-rdf-syntax-ns#rest,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
http://nwcg.gov/model/nwcg_org#CurriculumManagementUnit,http://edg.topbraid.solutions/model/acronym,CMU
http://nwcg.gov/model/nwcg_org#CurriculumManagementUnit,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://edg.topbraid.solutions/model/Organization
http://nwcg.gov/model/nwcg_org#CurriculumManagementUnit,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edg.topbraid.solutions/model/AssetClass
http://nwcg.gov/model/nwcg_org#CurriculumManagementUnit,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/ns/shacl#NodeShape
http://nwcg.gov/model/nwcg_org#CurriculumManagementUnit,http://www.w3.org/2000/01/rdf-schema#label,Curriculum Management Unit
http://edg.topbraid.solutions/model/EnumeratedValueSelector,http://www.w3.org/2000/01/rdf-schema#label,Enumerated Value Selector
http://edg.topbraid.solutions/model/EnumeratedValueSelector,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2000/01/rdf-schema#Class
http://edg.topbraid.solutions/model/EnumeratedValueSelector,http://www.w3.org/2000/01/rdf-schema#isDefinedBy,http://edg.topbraid.solutions/1.0/schema/pvs
http://edg.topbraid.solutions/model/EnumeratedValueSelector,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/ns/shacl#NodeShape
http://edg.topbraid.solutions/model/EnumeratedValueSelector,http://www.w3.org/ns/shacl#property,http://edg.topbraid.solutions/model/EnumeratedValueSelector-class
http://edg.topbraid.solutions/model/EnumeratedValueSelector,http://www.w3.org/2000/01/rdf-schema#isDefinedBy,http://edg.topbraid.solutions/1.0/schema/core
http://edg.topbraid.solutions/model/EnumeratedValueSelector,http://www.w3.org/ns/shacl#property,http://edg.topbraid.solutions/model/EnumeratedValueSelector-property
http://edg.topbraid.solutions/model/EnumeratedValueSelector,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edg.topbraid.solutions/model/AssetClass
http://edg.topbraid.solutions/model/EnumeratedValueSelector,http://www.w3.org/2000/01/rdf-schema#comment,An 'Enumerated Value Selector' references values from an enumeration in a given graph with the specific property 'dtype:code'. A typical use is to express permitted values on a data element. t.
http://edg.topbraid.solutions/model/EnumeratedValueSelector,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://edg.topbraid.solutions/model/PermissibleValuesAsset
http://edg.topbraid.solutions/model/EnumeratedValueSelector,http://edg.topbraid.solutions/model/acronym,EVS
http://edg.topbraid.solutions/model/EnumeratedValueSelector,http://www.w3.org/ns/shacl#property,http://edg.topbraid.solutions/model/EnumeratedValueSelector-graph
http://edg.topbraid.solutions/model/UNKNOWN-TYPE,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edg.topbraid.solutions/model/AssetClass
http://edg.topbraid.solutions/model/UNKNOWN-TYPE,http://edg.topbraid.solutions/model/acronym,UTYPE
http://edg.topbraid.solutions/model/UNKNOWN-TYPE,http://www.w3.org/2000/01/rdf-schema#comment,A diagram node that is generated when the type of some asset is not found in the EDG knowledge graph.
http://edg.topbraid.solutions/model/UNKNOWN-TYPE,http://www.w3.org/2000/01/rdf-schema#isDefinedBy,http://edg.topbraid.solutions/1.0/schema/core
http://edg.topbraid.solutions/model/UNKNOWN-TYPE,http://www.w3.org/2000/01/rdf-schema#label,Unknown Type
http://edg.topbraid.solutions/model/UNKNOWN-TYPE,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://edg.topbraid.solutions/model/Construct
http://qudt.org/schema/qudt/EndianType,http://www.w3.org/2002/07/owl#oneOf,_:b5
http://qudt.org/schema/qudt/EndianType,http://www.w3.org/2000/01/rdf-schema#isDefinedBy,http://qudt.org/2.1/schema/qudt
http://qudt.org/schema/qudt/EndianType,http://qudt.org/schema/qudt/informativeReference,http://en.wikipedia.org/wiki/Endianness
http://qudt.org/schema/qudt/EndianType,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://qudt.org/schema/qudt/EndianType,http://www.w3.org/ns/prov#wasInfluencedBy,http://en.wikipedia.org/wiki/Endianness
http://qudt.org/schema/qudt/EndianType,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://qudt.org/schema/qudt/EnumeratedValue
http://qudt.org/schema/qudt/EndianType,http://qudt.org/schema/qudt/plainTextDescription,"In computing, endianness is the ordering used to represent some kind of data as a sequence of smaller units. Typical cases are the order in which integer values are stored as bytes in computer memory (relative to a given memory addressing scheme) and the transmission order over a network or other medium. When specifically talking about bytes, endianness is also referred to simply as byte order.  Most computer processors simply store integers as sequences of bytes, so that, conceptually, the encoded value can be obtained by simple concatenation. For an 'n-byte' integer value this allows 'n!' (n factorial) possible representations (one for each byte permutation). The two most common of them are: increasing numeric significance with increasing memory addresses, known as little-endian, and its opposite, called big-endian."
http://qudt.org/schema/qudt/EndianType,http://purl.org/dc/terms/description,"In computing, endianness is the ordering used to represent some kind of data as a sequence of smaller units. Typical cases are the order in which integer values are stored as bytes in computer memory (relative to a given memory addressing scheme) and the transmission order over a network or other medium. When specifically talking about bytes, endianness is also referred to simply as byte order. 

Most computer processors simply store integers as sequences of bytes, so that, conceptually, the encoded value can be obtained by simple concatenation. For an $n-byte$ integer value this allows $n!$ (n factorial) possible representations (one for each byte permutation). The two most common of them are: increasing numeric significance with increasing memory addresses, known as little-endian, and its opposite, called big-endian."
http://qudt.org/schema/qudt/EndianType,http://www.w3.org/2000/01/rdf-schema#isDefinedBy,http://qudt.org/2.0/schema/datatype
http://qudt.org/schema/qudt/EndianType,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/ns/shacl#NodeShape
http://qudt.org/schema/qudt/EndianType,http://www.w3.org/2002/07/owl#oneOf,_:b30
http://qudt.org/schema/qudt/EndianType,http://www.w3.org/2000/01/rdf-schema#label,Endian Type
http://www.w3.org/2000/01/rdf-schema#Resource,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2000/01/rdf-schema#Class
http://www.w3.org/2000/01/rdf-schema#Resource,http://www.w3.org/2000/01/rdf-schema#comment,"The class resource, everything."
http://www.w3.org/2000/01/rdf-schema#Resource,http://www.w3.org/2000/01/rdf-schema#isDefinedBy,http://www.w3.org/2000/01/rdf-schema#
http://www.w3.org/2000/01/rdf-schema#Resource,http://www.w3.org/2000/01/rdf-schema#label,Resource
http://www.w3.org/2002/07/owl#InverseFunctionalProperty,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2000/01/rdf-schema#Class
http://www.w3.org/2002/07/owl#InverseFunctionalProperty,http://www.w3.org/2000/01/rdf-schema#comment,The class of inverse-functional properties.
http://www.w3.org/2002/07/owl#InverseFunctionalProperty,http://www.w3.org/2000/01/rdf-schema#isDefinedBy,http://www.w3.org/2002/07/owl#
http://www.w3.org/2002/07/owl#InverseFunctionalProperty,http://www.w3.org/2000/01/rdf-schema#label,InverseFunctionalProperty
http://www.w3.org/2002/07/owl#InverseFunctionalProperty,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.w3.org/2002/07/owl#ObjectProperty
_:b33,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
_:b33,http://www.w3.org/2002/07/owl#intersectionOf,_:b34
http://qudt.org/schema/qudt/FloatingPointEncodingType,http://www.w3.org/2000/01/rdf-schema#isDefinedBy,http://qudt.org/2.0/schema/datatype
http://qudt.org/schema/qudt/FloatingPointEncodingType,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://qudt.org/schema/qudt/FloatingPointEncodingType,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/ns/shacl#NodeShape
http://qudt.org/schema/qudt/FloatingPointEncodingType,http://purl.org/dc/terms/description,"A ""Encoding"" with the following instance(s): ""Double Precision Encoding"", ""Single Precision Real Encoding""."
http://qudt.org/schema/qudt/FloatingPointEncodingType,http://www.w3.org/2000/01/rdf-schema#isDefinedBy,http://qudt.org/2.1/schema/qudt
http://qudt.org/schema/qudt/FloatingPointEncodingType,http://www.w3.org/2000/01/rdf-schema#label,Floating Point Encoding
http://qudt.org/schema/qudt/FloatingPointEncodingType,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://qudt.org/schema/qudt/Encoding
http://edg.topbraid.solutions/model/BigDataPlatformType,http://www.w3.org/2000/01/rdf-schema#isDefinedBy,http://edg.topbraid.solutions/1.0/schema/bigdata
http://edg.topbraid.solutions/model/BigDataPlatformType,http://www.w3.org/2000/01/rdf-schema#comment,<em><strong>Please indicate any updates/modifications to the enumerated values in this comments field.</strong></em>
http://edg.topbraid.solutions/model/BigDataPlatformType,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://edg.topbraid.solutions/model/EDGenumeratedValue
http://edg.topbraid.solutions/model/BigDataPlatformType,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edg.topbraid.solutions/model/EDGenumerationClass
http://edg.topbraid.solutions/model/BigDataPlatformType,http://www.w3.org/2000/01/rdf-schema#label,Big Data Platform Type
http://qudt.org/schema/qudt/StringUTF8,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://qudt.org/schema/qudt/StringUTF8,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/ns/shacl#NodeShape
http://qudt.org/schema/qudt/StringUTF8,http://purl.org/dc/terms/description,"String UTF-8 Type is a string data type that specifies the properties of string data structures which encode strings using the UTF-8 encoding. UTF-8 includes ASCII, otherwise referred to as IA-5 (International Alphabet 5, as standardized by International Organization for Standardization [ISO]) as the first 128 values. The Internet Engineering Task Force (IETF) requires all Internet protocols to identify the encoding used for character data with UTF-8 as at least one supported encoding. The Internet Mail Consortium (IMC) recommends that all e-mail programs must be able to display and create mail using UTF-8."
http://qudt.org/schema/qudt/StringUTF8,http://www.w3.org/2000/01/rdf-schema#isDefinedBy,http://qudt.org/2.0/schema/datatype
http://qudt.org/schema/qudt/StringUTF8,http://www.w3.org/2000/01/rdf-schema#label,String UTF8 Type
http://qudt.org/schema/qudt/StringUTF8,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://qudt.org/schema/qudt/TextStringType
http://qudt.org/schema/qudt/StringUTF8,http://www.w3.org/ns/shacl#property,http://qudt.org/schema/qudt/StringUTF8-elementType
http://qudt.org/schema/qudt/StringUTF8,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edg.topbraid.solutions/model/AssetClass
http://www.w3.org/2002/07/owl#OntologyProperty,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2000/01/rdf-schema#Class
http://www.w3.org/2002/07/owl#OntologyProperty,http://www.w3.org/2000/01/rdf-schema#comment,The class of ontology properties.
http://www.w3.org/2002/07/owl#OntologyProperty,http://www.w3.org/2000/01/rdf-schema#isDefinedBy,http://www.w3.org/2002/07/owl#
http://www.w3.org/2002/07/owl#OntologyProperty,http://www.w3.org/2000/01/rdf-schema#label,OntologyProperty
http://www.w3.org/2002/07/owl#OntologyProperty,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
http://edg.topbraid.solutions/model/DataKind,http://www.w3.org/2000/01/rdf-schema#isDefinedBy,http://edg.topbraid.solutions/1.0/schema/core
http://edg.topbraid.solutions/model/DataKind,http://www.w3.org/2000/01/rdf-schema#comment,<em><strong>Please indicate any updates/modifications to the enumerated values in this comments field.</strong></em>
http://edg.topbraid.solutions/model/DataKind,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://edg.topbraid.solutions/model/EDGenumeratedValue
http://edg.topbraid.solutions/model/DataKind,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edg.topbraid.solutions/model/EDGenumerationClass
http://edg.topbraid.solutions/model/DataKind,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/ns/shacl#NodeShape
http://edg.topbraid.solutions/model/DataKind,http://www.w3.org/2000/01/rdf-schema#label,Data Kind
http://datashapes.org/dash#AllObjectsTarget,http://www.w3.org/ns/shacl#prefixes,http://datashapes.org/dash
http://datashapes.org/dash#AllObjectsTarget,http://www.w3.org/ns/shacl#labelTemplate,All objects
http://datashapes.org/dash#AllObjectsTarget,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/ns/shacl#SPARQLTargetType
http://datashapes.org/dash#AllObjectsTarget,http://www.w3.org/ns/shacl#jsFunctionName,dash_allObjects
http://datashapes.org/dash#AllObjectsTarget,http://www.w3.org/2000/01/rdf-schema#comment,A target containing all objects in the data graph as focus nodes.
http://datashapes.org/dash#AllObjectsTarget,http://www.w3.org/ns/shacl#jsLibrary,http://datashapes.org/dash#DASHJSLibrary
http://datashapes.org/dash#AllObjectsTarget,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.w3.org/ns/shacl#Target
http://datashapes.org/dash#AllObjectsTarget,http://www.w3.org/2000/01/rdf-schema#label,All objects target
http://datashapes.org/dash#AllObjectsTarget,http://www.w3.org/ns/shacl#select,"SELECT DISTINCT ?this
WHERE {
    ?anyS ?anyP ?this .
}"
http://datashapes.org/dash#AllObjectsTarget,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/ns/shacl#JSTargetType
_:b19,http://www.w3.org/1999/02/22-rdf-syntax-ns#first,_:b35
_:b19,http://www.w3.org/1999/02/22-rdf-syntax-ns#rest,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
http://nwcg.gov/model/nwcg_org#Board,http://edg.topbraid.solutions/model/acronym,BD
http://nwcg.gov/model/nwcg_org#Board,http://www.w3.org/2000/01/rdf-schema#comment,"A long-standing body of subject matter experts organized to establish performance criteria,  evaluation processes, business requirements, and operational standards in specific NWCG business areas (e.g., airtankers, incident reporting, position naming).

Established by and report to the Executive Board, committees, or subcommittees."
http://nwcg.gov/model/nwcg_org#Board,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://edg.topbraid.solutions/model/Organization
http://nwcg.gov/model/nwcg_org#Board,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edg.topbraid.solutions/model/AssetClass
http://nwcg.gov/model/nwcg_org#Board,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/ns/shacl#NodeShape
http://nwcg.gov/model/nwcg_org#Board,http://www.w3.org/2000/01/rdf-schema#label,Board
http://www.w3.org/ns/shacl#SPARQLSelectValidator,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2000/01/rdf-schema#Class
http://www.w3.org/ns/shacl#SPARQLSelectValidator,http://www.w3.org/2000/01/rdf-schema#label,SPARQL SELECT validator
http://www.w3.org/ns/shacl#SPARQLSelectValidator,http://www.w3.org/2000/01/rdf-schema#comment,The class of validators based on SPARQL SELECT queries. The queries are evaluated for each focus node and are supposed to produce bindings for all focus nodes that do not conform.
http://www.w3.org/ns/shacl#SPARQLSelectValidator,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.w3.org/ns/shacl#Validator
http://www.w3.org/ns/shacl#SPARQLSelectValidator,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.w3.org/ns/shacl#SPARQLSelectExecutable
http://www.w3.org/ns/shacl#SPARQLSelectValidator,http://www.w3.org/2000/01/rdf-schema#isDefinedBy,http://www.w3.org/ns/shacl#
http://qudt.org/schema/qudt/UnsignedMediumIntegerType,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://qudt.org/schema/qudt/UnsignedMediumIntegerType,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/ns/shacl#NodeShape
http://qudt.org/schema/qudt/UnsignedMediumIntegerType,http://purl.org/dc/terms/description,"An ""Unsigned Medium Integers"" is an integer of 24 bits that only takes on both positive values."
http://qudt.org/schema/qudt/UnsignedMediumIntegerType,http://www.w3.org/2000/01/rdf-schema#isDefinedBy,http://qudt.org/2.0/schema/datatype
http://qudt.org/schema/qudt/UnsignedMediumIntegerType,http://www.w3.org/2000/01/rdf-schema#label,Signed Integer Type
http://qudt.org/schema/qudt/UnsignedMediumIntegerType,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://qudt.org/schema/qudt/UnsignedIntegerType
http://qudt.org/schema/qudt/UnsignedMediumIntegerType,http://www.w3.org/2002/07/owl#equivalentClass,_:b36
http://qudt.org/schema/qudt/UnsignedMediumIntegerType,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edg.topbraid.solutions/model/AssetClass
http://www.w3.org/2000/01/rdf-schema#Datatype,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2000/01/rdf-schema#Class
http://www.w3.org/2000/01/rdf-schema#Datatype,http://www.w3.org/2000/01/rdf-schema#comment,The class of RDF datatypes.
http://www.w3.org/2000/01/rdf-schema#Datatype,http://www.w3.org/2000/01/rdf-schema#isDefinedBy,http://www.w3.org/2000/01/rdf-schema#
http://www.w3.org/2000/01/rdf-schema#Datatype,http://www.w3.org/2000/01/rdf-schema#label,Datatype
http://www.w3.org/2000/01/rdf-schema#Datatype,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.w3.org/2000/01/rdf-schema#Class
http://www.w3.org/2000/01/rdf-schema#Datatype,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/ns/shacl#NodeShape
http://topbraid.org/metadata#Status,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2000/01/rdf-schema#Class
http://topbraid.org/metadata#Status,http://topbraid.org/metadata#defaultStatus,http://topbraid.org/metadata#UnderDevelopmentStatus
http://topbraid.org/metadata#Status,http://www.w3.org/2000/01/rdf-schema#comment,A class with controlled values enumerating possible statuses of a vocabulary.
http://topbraid.org/metadata#Status,http://www.w3.org/2000/01/rdf-schema#label,Status
http://topbraid.org/metadata#Status,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.w3.org/2000/01/rdf-schema#Resource
http://datashapes.org/dash#ShapeClass,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://datashapes.org/dash#ShapeClass
http://datashapes.org/dash#ShapeClass,http://datashapes.org/dash#hidden,true
http://datashapes.org/dash#ShapeClass,http://www.w3.org/2000/01/rdf-schema#comment,A class that is also a node shape. This class can be used as rdf:type instead of the combination of rdfs:Class and sh:NodeShape.
http://datashapes.org/dash#ShapeClass,http://www.w3.org/2000/01/rdf-schema#label,Shape class
http://datashapes.org/dash#ShapeClass,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.w3.org/2000/01/rdf-schema#Class
http://datashapes.org/dash#ShapeClass,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.w3.org/ns/shacl#NodeShape
_:b37,http://www.w3.org/1999/02/22-rdf-syntax-ns#first,http://qudt.org/schema/qudt/CT_FINITE
_:b37,http://www.w3.org/1999/02/22-rdf-syntax-ns#rest,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
_:b38,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Restriction
_:b38,http://www.w3.org/2002/07/owl#maxCardinality,1
_:b38,http://www.w3.org/2002/07/owl#onProperty,http://www.linkedmodel.org/schema/vaem#revision
_:b39,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Restriction
_:b39,http://www.w3.org/2002/07/owl#allValuesFrom,http://www.linkedmodel.org/schema/vaem#GraphRole
_:b39,http://www.w3.org/2002/07/owl#onProperty,http://www.linkedmodel.org/schema/vaem#hasGraphRole
http://datashapes.org/dash#MultiViewer,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://datashapes.org/dash#ShapeClass
http://datashapes.org/dash#MultiViewer,http://www.w3.org/2000/01/rdf-schema#comment,A viewer for multiple/all values at once.
http://datashapes.org/dash#MultiViewer,http://www.w3.org/2000/01/rdf-schema#label,Multi viewer
http://datashapes.org/dash#MultiViewer,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://datashapes.org/dash#Viewer
http://topbraid.org/teamworkconstraints#AllLocalSubjectsTarget,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/ns/shacl#SPARQLTargetType
http://topbraid.org/teamworkconstraints#AllLocalSubjectsTarget,http://datashapes.org/dash#requiredExecutionPlatform,http://topbraid.org/tosh#TopBraidPlatform
http://topbraid.org/teamworkconstraints#AllLocalSubjectsTarget,http://www.w3.org/2000/01/rdf-schema#comment,A target containing all URI subjects from the base graph of the data graph.
http://topbraid.org/teamworkconstraints#AllLocalSubjectsTarget,http://www.w3.org/2000/01/rdf-schema#label,All local subjects target
http://topbraid.org/teamworkconstraints#AllLocalSubjectsTarget,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.w3.org/ns/shacl#Target
http://topbraid.org/teamworkconstraints#AllLocalSubjectsTarget,http://www.w3.org/ns/shacl#labelTemplate,All local subjects
http://topbraid.org/teamworkconstraints#AllLocalSubjectsTarget,http://www.w3.org/ns/shacl#prefixes,http://topbraid.org/teamworkconstraints
http://topbraid.org/teamworkconstraints#AllLocalSubjectsTarget,http://www.w3.org/ns/shacl#select,"SELECT DISTINCT ?this
WHERE {
	() <http://topbraid.org/sparqlmotionfunctions#localSubjects> ?this .
	FILTER (?this != teamwork:Vocabulary && NOT EXISTS {
		?this rdfs:subClassOf teamwork:Vocabulary .
	} && NOT EXISTS { ?this a owl:Ontology } && NOT EXISTS { ?this a teamwork:Vocabulary } && !tosh:isReificationURI(?this))
}"
http://nwcg.gov/enum/data#WaterSourceAvailability,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://edg.topbraid.solutions/model/CustomEnumeratedValue
http://nwcg.gov/enum/data#WaterSourceAvailability,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edg.topbraid.solutions/model/CustomEnumerationClass
http://nwcg.gov/enum/data#WaterSourceAvailability,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/ns/shacl#NodeShape
http://nwcg.gov/enum/data#WaterSourceAvailability,http://www.w3.org/2000/01/rdf-schema#label,Water Source Availability
_:b23,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Restriction
_:b23,http://www.w3.org/2002/07/owl#maxCardinality,1
_:b23,http://www.w3.org/2002/07/owl#onProperty,http://www.linkedmodel.org/schema/vaem#filePrefix
http://edg.topbraid.solutions/model/DataQualityVerificationMethod,http://www.w3.org/2000/01/rdf-schema#isDefinedBy,http://edg.topbraid.solutions/1.0/schema/core
http://edg.topbraid.solutions/model/DataQualityVerificationMethod,http://www.w3.org/2000/01/rdf-schema#comment,<em><strong>Please indicate any updates/modifications to the enumerated values in this comments field.</strong></em>
http://edg.topbraid.solutions/model/DataQualityVerificationMethod,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://edg.topbraid.solutions/model/EDGenumeratedValue
http://edg.topbraid.solutions/model/DataQualityVerificationMethod,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edg.topbraid.solutions/model/EDGenumerationClass
http://edg.topbraid.solutions/model/DataQualityVerificationMethod,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/ns/shacl#NodeShape
http://edg.topbraid.solutions/model/DataQualityVerificationMethod,http://www.w3.org/2000/01/rdf-schema#label,Data Quality Verification Method
_:b40,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Restriction
_:b40,http://www.w3.org/2002/07/owl#allValuesFrom,http://www.linkedmodel.org/schema/vaem#Party
_:b40,http://www.w3.org/2002/07/owl#onProperty,http://www.linkedmodel.org/schema/vaem#hasSteward
http://www.w3.org/1999/02/22-rdf-syntax-ns#List,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2000/01/rdf-schema#Class
http://www.w3.org/1999/02/22-rdf-syntax-ns#List,http://www.w3.org/2000/01/rdf-schema#comment,The class of RDF Lists.
http://www.w3.org/1999/02/22-rdf-syntax-ns#List,http://www.w3.org/2000/01/rdf-schema#isDefinedBy,http://www.w3.org/1999/02/22-rdf-syntax-ns#
http://www.w3.org/1999/02/22-rdf-syntax-ns#List,http://www.w3.org/2000/01/rdf-schema#label,List
http://www.w3.org/1999/02/22-rdf-syntax-ns#List,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.w3.org/2000/01/rdf-schema#Resource
http://www.w3.org/2002/07/owl#TransitiveProperty,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2000/01/rdf-schema#Class
http://www.w3.org/2002/07/owl#TransitiveProperty,http://www.w3.org/2000/01/rdf-schema#comment,The class of transitive properties.
http://www.w3.org/2002/07/owl#TransitiveProperty,http://www.w3.org/2000/01/rdf-schema#isDefinedBy,http://www.w3.org/2002/07/owl#
http://www.w3.org/2002/07/owl#TransitiveProperty,http://www.w3.org/2000/01/rdf-schema#label,TransitiveProperty
